"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2020","2020","55-64 years","55-64",10835,42403677,25.6,25.1,26.0
,"Influenza and pneumonia","J09-J18","2020","2020","65-74 years","65-74",17334,32549398,53.3,52.5,54.0
,"Influenza and pneumonia","J09-J18","2020","2020","75-84 years","75-84",18147,16451547,110.3,108.7,111.9
,"Influenza and pneumonia","J09-J18","2020","2020","85+ years","85+",15410,6658420,231.4,227.8,235.1
,"Influenza and pneumonia","J09-J18","2020","2020","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","< 1 year","1",31,3564493,0.9,0.6,1.2
,"Influenza and pneumonia","J09-J18","2021","2021","1-4 years","1-4",21,15262845,0.1,0.1,0.2
,"Influenza and pneumonia","J09-J18","2021","2021","5-14 years","5-14",32,41739332,0.1,0.1,0.1
,"Influenza and pneumonia","J09-J18","2021","2021","15-24 years","15-24",262,43088663,0.6,0.5,0.7
,"Influenza and pneumonia","J09-J18","2021","2021","25-34 years","25-34",1082,45495105,2.4,2.2,2.5
,"Influenza and pneumonia","J09-J18","2021","2021","35-44 years","35-44",2940,43403854,6.8,6.5,7.0
,"Influenza and pneumonia","J09-J18","2021","2021","45-54 years","45-54",6762,40688436,16.6,16.2,17.0
,"Influenza and pneumonia","J09-J18","2021","2021","55-64 years","55-64",15055,42803064,35.2,34.6,35.7
,"Influenza and pneumonia","J09-J18","2021","2021","65-74 years","65-74",20771,33666122,61.7,60.9,62.5
,"Influenza and pneumonia","J09-J18","2021","2021","75-84 years","75-84",18743,16206075,115.7,114.0,117.3
,"Influenza and pneumonia","J09-J18","2021","2021","85+ years","85+",13639,5975756,228.2,224.4,232.1
,"Influenza and pneumonia","J09-J18","2021","2021","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","< 1 year","1",52,3683113,1.4,1.1,1.9
,"Influenza and pneumonia","J09-J18","2022","2022","1-4 years","1-4",26,14855240,0.2,0.1,0.3
,"Influenza and pneumonia","J09-J18","2022","2022","5-14 years","5-14",50,40899034,0.1,0.1,0.2
,"Influenza and pneumonia","J09-J18","2022","2022","15-24 years","15-24",148,44341571,0.3,0.3,0.4
