"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2013","2013","Sep., 2013","2013/09",13157,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Oct., 2013","2013/10",14164,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Nov., 2013","2013/11",14190,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Dec., 2013","2013/12",16075,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jan., 2014","2014/01",17686,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Feb., 2014","2014/02",15099,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Mar., 2014","2014/03",15834,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Apr., 2014","2014/04",14658,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","May, 2014","2014/05",14616,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jun., 2014","2014/06",13850,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jul., 2014","2014/07",14499,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Aug., 2014","2014/08",14075,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Sep., 2014","2014/09",14117,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Oct., 2014","2014/10",15070,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Nov., 2014","2014/11",15184,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Dec., 2014","2014/12",17554,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Jan., 2015","2015/01",19755,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Feb., 2015","2015/02",16737,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Mar., 2015","2015/03",17718,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Apr., 2015","2015/04",15936,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","May, 2015","2015/05",15318,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Jun., 2015","2015/06",14534,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Jul., 2015","2015/07",15075,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Aug., 2015","2015/08",15304,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Sep., 2015","2015/09",14993,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Oct., 2015","2015/10",16265,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Nov., 2015","2015/11",16086,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Dec., 2015","2015/12",17493,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Jan., 2016","2016/01",18455,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Feb., 2016","2016/02",17022,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Mar., 2016","2016/03",18315,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Apr., 2016","2016/04",16482,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","May, 2016","2016/05",16023,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Jun., 2016","2016/06",14942,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Jul., 2016","2016/07",15537,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Aug., 2016","2016/08",15485,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Sep., 2016","2016/09",15398,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Oct., 2016","2016/10",16298,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Nov., 2016","2016/11",16189,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Dec., 2016","2016/12",18009,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Jan., 2017","2017/01",19801,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Feb., 2017","2017/02",17546,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Mar., 2017","2017/03",18609,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Apr., 2017","2017/04",16780,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","May, 2017","2017/05",16098,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Jun., 2017","2017/06",15510,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Jul., 2017","2017/07",15516,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Aug., 2017","2017/08",15612,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Sep., 2017","2017/09",15746,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Oct., 2017","2017/10",16488,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Nov., 2017","2017/11",16636,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Dec., 2017","2017/12",19334,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: MCD - ICD Sub-Chapter; Year; Month"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Apr 9, 2026 6:44:21 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Apr 9, 2026 6:44:21 PM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/mcd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. These items in the results table are not fully selected: Other bacterial diseases. The Query Description lists the actual"
"values selected."
"4. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population."
"5. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates."
"6. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"7. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"8. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"9. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
