"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2010","2010","Virginia","51",42,8001024,0.5,0.4,0.7,0.5,0.4,0.7
,"Influenza and pneumonia","J09-J18","2010","2010","Washington","53",81,6724540,1.2,1.0,1.5,1.2,0.9,1.4
,"Influenza and pneumonia","J09-J18","2010","2010","West Virginia","54",25,1852994,1.3,0.9,2.0,1.1,0.7,1.6
,"Influenza and pneumonia","J09-J18","2010","2010","Wisconsin","55",48,5686986,0.8,0.6,1.1,0.8,0.6,1.0
,"Influenza and pneumonia","J09-J18","2010","2010","Wyoming","56",Suppressed,563626,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
"Total","Influenza and pneumonia","J09-J18","2010","2010",,,3199,308745538,1.0,1.0,1.1,1.0,0.9,1.0
,"Influenza and pneumonia","J09-J18","2011","2011","Alabama","01",87,4802740,1.8,1.5,2.2,1.7,1.3,2.0
,"Influenza and pneumonia","J09-J18","2011","2011","Alaska","02",Suppressed,722718,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2011","2011","Arizona","04",71,6482505,1.1,0.9,1.4,1.0,0.8,1.3
,"Influenza and pneumonia","J09-J18","2011","2011","Arkansas","05",52,2937979,1.8,1.3,2.3,1.5,1.1,2.0
,"Influenza and pneumonia","J09-J18","2011","2011","California","06",431,37691912,1.1,1.0,1.3,1.1,1.0,1.3
,"Influenza and pneumonia","J09-J18","2011","2011","Colorado","08",32,5116796,0.6,0.4,0.9,0.7,0.4,0.9
,"Influenza and pneumonia","J09-J18","2011","2011","Connecticut","09",35,3580709,1.0,0.7,1.4,0.8,0.6,1.2
,"Influenza and pneumonia","J09-J18","2011","2011","Delaware","10",14,907135,Unreliable,0.8,2.6,Unreliable,0.7,2.4
,"Influenza and pneumonia","J09-J18","2011","2011","District of Columbia","11",Suppressed,617996,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2011","2011","Florida","12",192,19057542,1.0,0.9,1.1,0.8,0.7,0.9
,"Influenza and pneumonia","J09-J18","2011","2011","Georgia","13",84,9815210,0.9,0.7,1.1,0.9,0.7,1.1
,"Influenza and pneumonia","J09-J18","2011","2011","Hawaii","15",19,1374810,Unreliable,0.8,2.2,Unreliable,0.7,1.8
,"Influenza and pneumonia","J09-J18","2011","2011","Idaho","16",11,1584985,Unreliable,0.3,1.2,Unreliable,0.3,1.1
,"Influenza and pneumonia","J09-J18","2011","2011","Illinois","17",144,12869257,1.1,0.9,1.3,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2011","2011","Indiana","18",76,6516922,1.2,0.9,1.5,1.1,0.9,1.4
,"Influenza and pneumonia","J09-J18","2011","2011","Iowa","19",42,3062309,1.4,1.0,1.9,1.2,0.8,1.6
,"Influenza and pneumonia","J09-J18","2011","2011","Kansas","20",27,2871238,0.9,0.6,1.4,0.9,0.6,1.3
,"Influenza and pneumonia","J09-J18","2011","2011","Kentucky","21",60,4369356,1.4,1.0,1.8,1.3,1.0,1.7
,"Influenza and pneumonia","J09-J18","2011","2011","Louisiana","22",32,4574836,0.7,0.5,1.0,0.7,0.5,1.0
,"Influenza and pneumonia","J09-J18","2011","2011","Maine","23",15,1328188,Unreliable,0.6,1.9,Unreliable,0.5,1.5
,"Influenza and pneumonia","J09-J18","2011","2011","Maryland","24",54,5828289,0.9,0.7,1.2,0.9,0.6,1.1
,"Influenza and pneumonia","J09-J18","2011","2011","Massachusetts","25",50,6587536,0.8,0.6,1.0,0.6,0.5,0.8
,"Influenza and pneumonia","J09-J18","2011","2011","Michigan","26",111,9876187,1.1,0.9,1.3,1.0,0.8,1.2
,"Influenza and pneumonia","J09-J18","2011","2011","Minnesota","27",64,5344861,1.2,0.9,1.5,1.1,0.8,1.4
,"Influenza and pneumonia","J09-J18","2011","2011","Mississippi","28",48,2978512,1.6,1.2,2.1,1.5,1.1,2.0
,"Influenza and pneumonia","J09-J18","2011","2011","Missouri","29",78,6010688,1.3,1.0,1.6,1.1,0.9,1.4
,"Influenza and pneumonia","J09-J18","2011","2011","Montana","30",Suppressed,998199,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2011","2011","Nebraska","31",20,1842641,1.1,0.7,1.7,1.0,0.6,1.6
,"Influenza and pneumonia","J09-J18","2011","2011","Nevada","32",23,2723322,0.8,0.5,1.3,0.8,0.5,1.2
,"Influenza and pneumonia","J09-J18","2011","2011","New Hampshire","33",19,1318194,Unreliable,0.9,2.3,Unreliable,0.8,2.0
,"Influenza and pneumonia","J09-J18","2011","2011","New Jersey","34",109,8821155,1.2,1.0,1.5,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2011","2011","New Mexico","35",18,2082224,Unreliable,0.5,1.4,Unreliable,0.5,1.3
,"Influenza and pneumonia","J09-J18","2011","2011","New York","36",140,19465197,0.7,0.6,0.8,0.6,0.5,0.7
,"Influenza and pneumonia","J09-J18","2011","2011","North Carolina","37",115,9656401,1.2,1.0,1.4,1.1,0.9,1.4
,"Influenza and pneumonia","J09-J18","2011","2011","North Dakota","38",Suppressed,683932,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2011","2011","Ohio","39",145,11544951,1.3,1.1,1.5,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2011","2011","Oklahoma","40",49,3791508,1.3,1.0,1.7,1.2,0.9,1.5
,"Influenza and pneumonia","J09-J18","2011","2011","Oregon","41",45,3871859,1.2,0.8,1.6,1.0,0.7,1.3
,"Influenza and pneumonia","J09-J18","2011","2011","Pennsylvania","42",132,12742886,1.0,0.9,1.2,0.8,0.7,1.0
,"Influenza and pneumonia","J09-J18","2011","2011","Rhode Island","44",12,1051302,Unreliable,0.6,2.0,Unreliable,0.5,1.8
,"Influenza and pneumonia","J09-J18","2011","2011","South Carolina","45",52,4679230,1.1,0.8,1.5,1.1,0.8,1.4
,"Influenza and pneumonia","J09-J18","2011","2011","South Dakota","46",Suppressed,824082,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2011","2011","Tennessee","47",101,6403353,1.6,1.3,1.9,1.5,1.2,1.8
,"Influenza and pneumonia","J09-J18","2011","2011","Texas","48",248,25674681,1.0,0.8,1.1,1.0,0.9,1.2
,"Influenza and pneumonia","J09-J18","2011","2011","Utah","49",29,2817222,1.0,0.7,1.5,1.4,0.9,2.0
,"Influenza and pneumonia","J09-J18","2011","2011","Vermont","50",Suppressed,626431,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2011","2011","Virginia","51",71,8096604,0.9,0.7,1.1,0.8,0.6,1.0
,"Influenza and pneumonia","J09-J18","2011","2011","Washington","53",94,6830038,1.4,1.1,1.7,1.3,1.0,1.5
,"Influenza and pneumonia","J09-J18","2011","2011","West Virginia","54",42,1855364,2.3,1.6,3.1,1.9,1.4,2.7
,"Influenza and pneumonia","J09-J18","2011","2011","Wisconsin","55",42,5711767,0.7,0.5,1.0,0.6,0.5,0.9
,"Influenza and pneumonia","J09-J18","2011","2011","Wyoming","56",Suppressed,568158,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
"Total","Influenza and pneumonia","J09-J18","2011","2011",,,3378,311591917,1.1,1.0,1.1,1.0,1.0,1.1
,"Influenza and pneumonia","J09-J18","2012","2012","Alabama","01",85,4822023,1.8,1.4,2.2,1.6,1.3,2.0
,"Influenza and pneumonia","J09-J18","2012","2012","Alaska","02",Suppressed,731449,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2012","2012","Arizona","04",80,6553255,1.2,1.0,1.5,1.1,0.9,1.4
,"Influenza and pneumonia","J09-J18","2012","2012","Arkansas","05",47,2949131,1.6,1.2,2.1,1.4,1.0,1.9
,"Influenza and pneumonia","J09-J18","2012","2012","California","06",384,38041430,1.0,0.9,1.1,1.0,0.9,1.1
,"Influenza and pneumonia","J09-J18","2012","2012","Colorado","08",34,5187582,0.7,0.5,0.9,0.6,0.4,0.9
,"Influenza and pneumonia","J09-J18","2012","2012","Connecticut","09",33,3590347,0.9,0.6,1.3,0.8,0.5,1.1
,"Influenza and pneumonia","J09-J18","2012","2012","Delaware","10",15,917092,Unreliable,0.9,2.7,Unreliable,0.8,2.4
,"Influenza and pneumonia","J09-J18","2012","2012","District of Columbia","11",Suppressed,632323,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2012","2012","Florida","12",178,19317568,0.9,0.8,1.1,0.7,0.6,0.8
,"Influenza and pneumonia","J09-J18","2012","2012","Georgia","13",105,9919945,1.1,0.9,1.3,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2012","2012","Hawaii","15",20,1392313,1.4,0.9,2.2,1.2,0.7,1.8
,"Influenza and pneumonia","J09-J18","2012","2012","Idaho","16",22,1595728,1.4,0.9,2.1,1.2,0.8,1.9
,"Influenza and pneumonia","J09-J18","2012","2012","Illinois","17",93,12875255,0.7,0.6,0.9,0.7,0.6,0.9
,"Influenza and pneumonia","J09-J18","2012","2012","Indiana","18",66,6537334,1.0,0.8,1.3,0.9,0.7,1.2
,"Influenza and pneumonia","J09-J18","2012","2012","Iowa","19",24,3074186,0.8,0.5,1.2,0.7,0.4,1.0
,"Influenza and pneumonia","J09-J18","2012","2012","Kansas","20",19,2885905,Unreliable,0.4,1.0,Unreliable,0.4,0.9
,"Influenza and pneumonia","J09-J18","2012","2012","Kentucky","21",50,4380415,1.1,0.8,1.5,1.0,0.8,1.4
,"Influenza and pneumonia","J09-J18","2012","2012","Louisiana","22",38,4601893,0.8,0.6,1.1,0.8,0.6,1.1
,"Influenza and pneumonia","J09-J18","2012","2012","Maine","23",10,1329192,Unreliable,0.4,1.4,Unreliable,0.3,1.1
,"Influenza and pneumonia","J09-J18","2012","2012","Maryland","24",67,5884563,1.1,0.9,1.4,1.1,0.8,1.3
,"Influenza and pneumonia","J09-J18","2012","2012","Massachusetts","25",40,6646144,0.6,0.4,0.8,0.5,0.4,0.7
,"Influenza and pneumonia","J09-J18","2012","2012","Michigan","26",102,9883360,1.0,0.8,1.2,0.9,0.7,1.1
,"Influenza and pneumonia","J09-J18","2012","2012","Minnesota","27",58,5379139,1.1,0.8,1.4,1.0,0.7,1.2
,"Influenza and pneumonia","J09-J18","2012","2012","Mississippi","28",47,2984926,1.6,1.2,2.1,1.5,1.1,1.9
,"Influenza and pneumonia","J09-J18","2012","2012","Missouri","29",53,6021988,0.9,0.7,1.2,0.7,0.5,1.0
,"Influenza and pneumonia","J09-J18","2012","2012","Montana","30",Suppressed,1005141,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2012","2012","Nebraska","31",20,1855525,1.1,0.7,1.7,1.0,0.6,1.5
,"Influenza and pneumonia","J09-J18","2012","2012","Nevada","32",14,2758931,Unreliable,0.3,0.9,Unreliable,0.2,0.8
,"Influenza and pneumonia","J09-J18","2012","2012","New Hampshire","33",16,1320718,Unreliable,0.7,2.0,Unreliable,0.6,1.7
,"Influenza and pneumonia","J09-J18","2012","2012","New Jersey","34",80,8864590,0.9,0.7,1.1,0.8,0.6,1.0
,"Influenza and pneumonia","J09-J18","2012","2012","New Mexico","35",20,2085538,1.0,0.6,1.5,0.8,0.5,1.3
,"Influenza and pneumonia","J09-J18","2012","2012","New York","36",159,19570261,0.8,0.7,0.9,0.7,0.6,0.8
,"Influenza and pneumonia","J09-J18","2012","2012","North Carolina","37",112,9752073,1.1,0.9,1.4,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2012","2012","North Dakota","38",Suppressed,699628,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2012","2012","Ohio","39",104,11544225,0.9,0.7,1.1,0.8,0.6,0.9
,"Influenza and pneumonia","J09-J18","2012","2012","Oklahoma","40",51,3814820,1.3,1.0,1.8,1.2,0.9,1.6
,"Influenza and pneumonia","J09-J18","2012","2012","Oregon","41",25,3899353,0.6,0.4,0.9,0.5,0.4,0.8
,"Influenza and pneumonia","J09-J18","2012","2012","Pennsylvania","42",144,12763536,1.1,0.9,1.3,0.9,0.8,1.1
,"Influenza and pneumonia","J09-J18","2012","2012","Rhode Island","44",10,1050292,Unreliable,0.5,1.8,Unreliable,0.4,1.5
,"Influenza and pneumonia","J09-J18","2012","2012","South Carolina","45",57,4723723,1.2,0.9,1.6,1.2,0.9,1.5
,"Influenza and pneumonia","J09-J18","2012","2012","South Dakota","46",Suppressed,833354,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2012","2012","Tennessee","47",92,6456243,1.4,1.1,1.7,1.3,1.0,1.6
,"Influenza and pneumonia","J09-J18","2012","2012","Texas","48",248,26059203,1.0,0.8,1.1,1.0,0.9,1.2
,"Influenza and pneumonia","J09-J18","2012","2012","Utah","49",32,2855287,1.1,0.8,1.6,1.4,1.0,2.0
,"Influenza and pneumonia","J09-J18","2012","2012","Vermont","50",Suppressed,626011,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2012","2012","Virginia","51",44,8185867,0.5,0.4,0.7,0.5,0.4,0.7
,"Influenza and pneumonia","J09-J18","2012","2012","Washington","53",80,6897012,1.2,0.9,1.4,1.1,0.8,1.3
,"Influenza and pneumonia","J09-J18","2012","2012","West Virginia","54",36,1855413,1.9,1.4,2.7,1.6,1.1,2.2
,"Influenza and pneumonia","J09-J18","2012","2012","Wisconsin","55",41,5726398,0.7,0.5,1.0,0.6,0.4,0.8
,"Influenza and pneumonia","J09-J18","2012","2012","Wyoming","56",Suppressed,576412,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
"Total","Influenza and pneumonia","J09-J18","2012","2012",,,3086,313914040,1.0,0.9,1.0,0.9,0.8,0.9
