"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","Tennessee","47",5439,6770010,80.3,78.2,82.5,66.8,65.0,68.6
,"Other bacterial diseases","A30-A49","2018","2018","Texas","48",18604,28701845,64.8,63.9,65.7,66.6,65.6,67.6
,"Other bacterial diseases","A30-A49","2018","2018","Utah","49",1104,3161105,34.9,32.9,37.0,40.7,38.3,43.2
,"Other bacterial diseases","A30-A49","2018","2018","Vermont","50",248,626299,39.6,34.7,44.5,28.2,24.7,32.1
,"Other bacterial diseases","A30-A49","2018","2018","Virginia","51",5011,8517685,58.8,57.2,60.5,50.5,49.1,51.9
,"Other bacterial diseases","A30-A49","2018","2018","Washington","53",4027,7535591,53.4,51.8,55.1,46.7,45.2,48.2
,"Other bacterial diseases","A30-A49","2018","2018","West Virginia","54",2032,1805832,112.5,107.6,117.4,79.4,75.9,83.1
,"Other bacterial diseases","A30-A49","2018","2018","Wisconsin","55",2972,5813568,51.1,49.3,53.0,39.9,38.4,41.4
,"Other bacterial diseases","A30-A49","2018","2018","Wyoming","56",344,577737,59.5,53.3,65.8,49.9,44.7,55.7
"Total","Other bacterial diseases","A30-A49","2018","2018",,,205925,327167434,62.9,62.7,63.2,51.9,51.6,52.1
,"Other bacterial diseases","A30-A49","2019","2019","Alabama","01",3910,4903185,79.7,77.2,82.2,63.1,61.1,65.2
,"Other bacterial diseases","A30-A49","2019","2019","Alaska","02",289,731545,39.5,35.0,44.1,45.7,40.4,51.7
,"Other bacterial diseases","A30-A49","2019","2019","Arizona","04",2402,7278717,33.0,31.7,34.3,26.1,25.1,27.2
,"Other bacterial diseases","A30-A49","2019","2019","Arkansas","05",2621,3017804,86.9,83.5,90.2,68.4,65.7,71.1
,"Other bacterial diseases","A30-A49","2019","2019","California","06",21879,39512223,55.4,54.6,56.1,48.6,48.0,49.3
,"Other bacterial diseases","A30-A49","2019","2019","Colorado","08",2426,5758736,42.1,40.5,43.8,39.0,37.5,40.6
,"Other bacterial diseases","A30-A49","2019","2019","Connecticut","09",2560,3565287,71.8,69.0,74.6,51.6,49.6,53.7
,"Other bacterial diseases","A30-A49","2019","2019","Delaware","10",532,973764,54.6,50.0,59.3,40.3,36.8,44.0
,"Other bacterial diseases","A30-A49","2019","2019","District of Columbia","11",478,705749,67.7,61.7,73.8,68.9,62.8,75.5
,"Other bacterial diseases","A30-A49","2019","2019","Florida","12",13644,21477737,63.5,62.5,64.6,42.1,41.4,42.9
,"Other bacterial diseases","A30-A49","2019","2019","Georgia","13",6776,10617423,63.8,62.3,65.3,59.4,58.0,60.9
,"Other bacterial diseases","A30-A49","2019","2019","Hawaii","15",560,1415872,39.6,36.3,42.8,29.1,26.6,31.8
,"Other bacterial diseases","A30-A49","2019","2019","Idaho","16",804,1787065,45.0,41.9,48.1,38.9,36.2,41.7
,"Other bacterial diseases","A30-A49","2019","2019","Illinois","17",7880,12671821,62.2,60.8,63.6,50.4,49.2,51.5
,"Other bacterial diseases","A30-A49","2019","2019","Indiana","18",4794,6732219,71.2,69.2,73.2,59.2,57.5,60.9
,"Other bacterial diseases","A30-A49","2019","2019","Iowa","19",1812,3155070,57.4,54.8,60.1,43.1,41.1,45.2
