"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","25-34 years","25-34",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","35-44 years","35-44",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","45-54 years","45-54",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","55-64 years","55-64",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","65-74 years","65-74",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","75-84 years","75-84",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01","85+ years","85+",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","25-34 years","25-34",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","35-44 years","35-44",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","45-54 years","45-54",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","55-64 years","55-64",48,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","65-74 years","65-74",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02","75-84 years","75-84",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
