"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2011","2011","Kansas","20",1328,2871238,46.3,40.9
,"Other bacterial diseases","A30-A49","2011","2011","Kentucky","21",2988,4369356,68.4,63.1
,"Other bacterial diseases","A30-A49","2011","2011","Louisiana","22",2768,4574836,60.5,60.1
,"Other bacterial diseases","A30-A49","2011","2011","Maine","23",597,1328188,44.9,34.2
,"Other bacterial diseases","A30-A49","2011","2011","Maryland","24",3147,5828289,54.0,51.4
,"Other bacterial diseases","A30-A49","2011","2011","Massachusetts","25",3425,6587536,52.0,43.5
,"Other bacterial diseases","A30-A49","2011","2011","Michigan","26",5892,9876187,59.7,51.4
,"Other bacterial diseases","A30-A49","2011","2011","Minnesota","27",1701,5344861,31.8,28.5
,"Other bacterial diseases","A30-A49","2011","2011","Mississippi","28",2014,2978512,67.6,65.2
,"Other bacterial diseases","A30-A49","2011","2011","Missouri","29",3279,6010688,54.6,47.7
,"Other bacterial diseases","A30-A49","2011","2011","Montana","30",337,998199,33.8,28.4
,"Other bacterial diseases","A30-A49","2011","2011","Nebraska","31",621,1842641,33.7,29.7
,"Other bacterial diseases","A30-A49","2011","2011","Nevada","32",1437,2723322,52.8,54.1
,"Other bacterial diseases","A30-A49","2011","2011","New Hampshire","33",558,1318194,42.3,36.4
,"Other bacterial diseases","A30-A49","2011","2011","New Jersey","34",6349,8821155,72.0,62.2
,"Other bacterial diseases","A30-A49","2011","2011","New Mexico","35",1051,2082224,50.5,47.2
,"Other bacterial diseases","A30-A49","2011","2011","New York","36",10181,19465197,52.3,45.4
,"Other bacterial diseases","A30-A49","2011","2011","North Carolina","37",5661,9656401,58.6,55.7
,"Other bacterial diseases","A30-A49","2011","2011","North Dakota","38",276,683932,40.4,33.4
,"Other bacterial diseases","A30-A49","2011","2011","Ohio","39",7035,11544951,60.9,51.8
,"Other bacterial diseases","A30-A49","2011","2011","Oklahoma","40",2366,3791508,62.4,57.4
,"Other bacterial diseases","A30-A49","2011","2011","Oregon","41",1381,3871859,35.7,30.7
,"Other bacterial diseases","A30-A49","2011","2011","Pennsylvania","42",7997,12742886,62.8,48.5
,"Other bacterial diseases","A30-A49","2011","2011","Rhode Island","44",798,1051302,75.9,59.9
,"Other bacterial diseases","A30-A49","2011","2011","South Carolina","45",3057,4679230,65.3,60.4
,"Other bacterial diseases","A30-A49","2011","2011","South Dakota","46",317,824082,38.5,32.0
,"Other bacterial diseases","A30-A49","2011","2011","Tennessee","47",3846,6403353,60.1,55.4
,"Other bacterial diseases","A30-A49","2011","2011","Texas","48",13717,25674681,53.4,61.2
,"Other bacterial diseases","A30-A49","2011","2011","Utah","49",799,2817222,28.4,36.6
,"Other bacterial diseases","A30-A49","2011","2011","Vermont","50",267,626431,42.6,35.1
,"Other bacterial diseases","A30-A49","2011","2011","Virginia","51",4541,8096604,56.1,55.4
,"Other bacterial diseases","A30-A49","2011","2011","Washington","53",2978,6830038,43.6,41.5
,"Other bacterial diseases","A30-A49","2011","2011","West Virginia","54",1479,1855364,79.7,63.5
,"Other bacterial diseases","A30-A49","2011","2011","Wisconsin","55",2078,5711767,36.4,31.2
,"Other bacterial diseases","A30-A49","2011","2011","Wyoming","56",190,568158,33.4,32.0
"Total","Other bacterial diseases","A30-A49","2011","2011",,,164805,311591917,52.9,48.5
,"Other bacterial diseases","A30-A49","2012","2012","Alabama","01",3145,4822023,65.2,58.2
,"Other bacterial diseases","A30-A49","2012","2012","Alaska","02",205,731449,28.0,39.4
,"Other bacterial diseases","A30-A49","2012","2012","Arizona","04",2722,6553255,41.5,37.1
,"Other bacterial diseases","A30-A49","2012","2012","Arkansas","05",1912,2949131,64.8,56.5
,"Other bacterial diseases","A30-A49","2012","2012","California","06",18047,38041430,47.4,47.1
,"Other bacterial diseases","A30-A49","2012","2012","Colorado","08",1581,5187582,30.5,31.7
,"Other bacterial diseases","A30-A49","2012","2012","Connecticut","09",2131,3590347,59.4,47.4
,"Other bacterial diseases","A30-A49","2012","2012","Delaware","10",481,917092,52.4,44.0
,"Other bacterial diseases","A30-A49","2012","2012","District of Columbia","11",429,632323,67.8,70.3
