"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2018","2018","South Dakota","46",537,882235,60.9,55.7,66.0,46.9,42.9,51.2
,"Influenza and pneumonia","J09-J18","2018","2018","Tennessee","47",3921,6770010,57.9,56.1,59.7,48.7,47.2,50.3
,"Influenza and pneumonia","J09-J18","2018","2018","Texas","48",11425,28701845,39.8,39.1,40.5,41.7,40.9,42.5
,"Influenza and pneumonia","J09-J18","2018","2018","Utah","49",930,3161105,29.4,27.5,31.3,35.5,33.2,37.9
,"Influenza and pneumonia","J09-J18","2018","2018","Vermont","50",232,626299,37.0,32.3,41.8,26.5,23.1,30.3
,"Influenza and pneumonia","J09-J18","2018","2018","Virginia","51",3098,8517685,36.4,35.1,37.7,31.6,30.5,32.7
,"Influenza and pneumonia","J09-J18","2018","2018","Washington","53",2603,7535591,34.5,33.2,35.9,30.5,29.3,31.7
,"Influenza and pneumonia","J09-J18","2018","2018","West Virginia","54",1388,1805832,76.9,72.8,80.9,54.3,51.4,57.3
,"Influenza and pneumonia","J09-J18","2018","2018","Wisconsin","55",2356,5813568,40.5,38.9,42.2,31.2,29.9,32.5
,"Influenza and pneumonia","J09-J18","2018","2018","Wyoming","56",302,577737,52.3,46.4,58.2,44.6,39.6,50.0
"Total","Influenza and pneumonia","J09-J18","2018","2018",,,148498,327167434,45.4,45.2,45.6,37.4,37.2,37.5
,"Influenza and pneumonia","J09-J18","2019","2019","Alabama","01",2425,4903185,49.5,47.5,51.4,39.4,37.8,41.1
,"Influenza and pneumonia","J09-J18","2019","2019","Alaska","02",198,731545,27.1,23.3,30.8,31.0,26.6,35.9
,"Influenza and pneumonia","J09-J18","2019","2019","Arizona","04",2848,7278717,39.1,37.7,40.6,30.6,29.4,31.7
,"Influenza and pneumonia","J09-J18","2019","2019","Arkansas","05",1704,3017804,56.5,53.8,59.1,44.9,42.8,47.2
,"Influenza and pneumonia","J09-J18","2019","2019","California","06",15519,39512223,39.3,38.7,39.9,34.4,33.9,35.0
,"Influenza and pneumonia","J09-J18","2019","2019","Colorado","08",1605,5758736,27.9,26.5,29.2,26.5,25.2,27.8
,"Influenza and pneumonia","J09-J18","2019","2019","Connecticut","09",1590,3565287,44.6,42.4,46.8,31.2,29.6,32.8
,"Influenza and pneumonia","J09-J18","2019","2019","Delaware","10",393,973764,40.4,36.4,44.3,29.9,27.0,33.2
,"Influenza and pneumonia","J09-J18","2019","2019","District of Columbia","11",230,705749,32.6,28.4,36.8,33.0,28.8,37.7
,"Influenza and pneumonia","J09-J18","2019","2019","Florida","12",9036,21477737,42.1,41.2,42.9,27.5,26.9,28.1
,"Influenza and pneumonia","J09-J18","2019","2019","Georgia","13",3468,10617423,32.7,31.6,33.8,31.2,30.2,32.3
,"Influenza and pneumonia","J09-J18","2019","2019","Hawaii","15",791,1415872,55.9,52.0,59.8,37.3,34.6,40.1
,"Influenza and pneumonia","J09-J18","2019","2019","Idaho","16",510,1787065,28.5,26.1,31.0,25.1,22.9,27.4
,"Influenza and pneumonia","J09-J18","2019","2019","Illinois","17",5488,12671821,43.3,42.2,44.5,34.9,34.0,35.8
,"Influenza and pneumonia","J09-J18","2019","2019","Indiana","18",3271,6732219,48.6,46.9,50.3,40.3,39.0,41.8
,"Influenza and pneumonia","J09-J18","2019","2019","Iowa","19",1561,3155070,49.5,47.0,51.9,36.2,34.4,38.1
,"Influenza and pneumonia","J09-J18","2019","2019","Kansas","20",1335,2913314,45.8,43.4,48.3,35.9,34.0,37.9
