"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","15-24 years","15-24",13,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","25-34 years","25-34",25,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","35-44 years","35-44",57,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","45-54 years","45-54",156,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","55-64 years","55-64",341,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","65-74 years","65-74",475,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","75-84 years","75-84",734,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","85+ years","85+",760,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","25-34 years","25-34",22,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","35-44 years","35-44",57,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","45-54 years","45-54",178,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","55-64 years","55-64",340,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","65-74 years","65-74",448,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","75-84 years","75-84",698,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","85+ years","85+",717,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","15-24 years","15-24",13,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","25-34 years","25-34",26,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","35-44 years","35-44",50,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","45-54 years","45-54",137,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","55-64 years","55-64",271,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","65-74 years","65-74",446,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","75-84 years","75-84",693,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","85+ years","85+",709,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","15-24 years","15-24",10,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","25-34 years","25-34",19,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","35-44 years","35-44",65,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","45-54 years","45-54",156,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","55-64 years","55-64",325,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","65-74 years","65-74",480,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","75-84 years","75-84",664,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","85+ years","85+",676,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","25-34 years","25-34",22,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","35-44 years","35-44",67,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","45-54 years","45-54",160,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","55-64 years","55-64",321,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","65-74 years","65-74",454,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","75-84 years","75-84",700,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","85+ years","85+",722,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","25-34 years","25-34",21,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","35-44 years","35-44",43,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","45-54 years","45-54",193,Not Applicable,Not Applicable
