"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2018","2018","Apr., 2018","2018/04","35-44 years","35-44",206,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Apr., 2018","2018/04","45-54 years","45-54",518,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Apr., 2018","2018/04","55-64 years","55-64",1407,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Apr., 2018","2018/04","65-74 years","65-74",2297,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Apr., 2018","2018/04","75-84 years","75-84",3214,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Apr., 2018","2018/04","85+ years","85+",4588,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Apr., 2018","2018/04","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","< 1 year","1",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","1-4 years","1-4",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","5-14 years","5-14",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","15-24 years","15-24",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","25-34 years","25-34",104,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","35-44 years","35-44",211,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","45-54 years","45-54",512,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","55-64 years","55-64",1248,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","65-74 years","65-74",2101,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","75-84 years","75-84",2892,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","May, 2018","2018/05","85+ years","85+",3939,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","< 1 year","1",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","1-4 years","1-4",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","5-14 years","5-14",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","15-24 years","15-24",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","25-34 years","25-34",91,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","35-44 years","35-44",191,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","45-54 years","45-54",468,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","55-64 years","55-64",1273,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","65-74 years","65-74",1933,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","75-84 years","75-84",2605,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jun., 2018","2018/06","85+ years","85+",3711,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jul., 2018","2018/07","< 1 year","1",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jul., 2018","2018/07","1-4 years","1-4",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jul., 2018","2018/07","5-14 years","5-14",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jul., 2018","2018/07","15-24 years","15-24",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jul., 2018","2018/07","25-34 years","25-34",104,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2018","2018","Jul., 2018","2018/07","35-44 years","35-44",172,Not Applicable,Not Applicable,Not Applicable,Not Applicable
