"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2011","2011","Kansas","20",248,2871238,8.6,7.6
,"Other bacterial diseases","A30-A49","2011","2011","Kentucky","21",707,4369356,16.2,14.9
,"Other bacterial diseases","A30-A49","2011","2011","Louisiana","22",480,4574836,10.5,10.5
,"Other bacterial diseases","A30-A49","2011","2011","Maine","23",128,1328188,9.6,7.2
,"Other bacterial diseases","A30-A49","2011","2011","Maryland","24",618,5828289,10.6,10.2
,"Other bacterial diseases","A30-A49","2011","2011","Massachusetts","25",732,6587536,11.1,9.2
,"Other bacterial diseases","A30-A49","2011","2011","Michigan","26",1275,9876187,12.9,11.1
,"Other bacterial diseases","A30-A49","2011","2011","Minnesota","27",316,5344861,5.9,5.3
,"Other bacterial diseases","A30-A49","2011","2011","Mississippi","28",398,2978512,13.4,13.1
,"Other bacterial diseases","A30-A49","2011","2011","Missouri","29",635,6010688,10.6,9.3
,"Other bacterial diseases","A30-A49","2011","2011","Montana","30",50,998199,5.0,4.3
,"Other bacterial diseases","A30-A49","2011","2011","Nebraska","31",131,1842641,7.1,6.3
,"Other bacterial diseases","A30-A49","2011","2011","Nevada","32",446,2723322,16.4,17.2
,"Other bacterial diseases","A30-A49","2011","2011","New Hampshire","33",97,1318194,7.4,6.4
,"Other bacterial diseases","A30-A49","2011","2011","New Jersey","34",1070,8821155,12.1,10.4
,"Other bacterial diseases","A30-A49","2011","2011","New Mexico","35",234,2082224,11.2,10.4
,"Other bacterial diseases","A30-A49","2011","2011","New York","36",2596,19465197,13.3,11.5
,"Other bacterial diseases","A30-A49","2011","2011","North Carolina","37",1278,9656401,13.2,12.6
,"Other bacterial diseases","A30-A49","2011","2011","North Dakota","38",56,683932,8.2,6.9
,"Other bacterial diseases","A30-A49","2011","2011","Ohio","39",1414,11544951,12.2,10.3
,"Other bacterial diseases","A30-A49","2011","2011","Oklahoma","40",603,3791508,15.9,14.6
,"Other bacterial diseases","A30-A49","2011","2011","Oregon","41",229,3871859,5.9,5.2
,"Other bacterial diseases","A30-A49","2011","2011","Pennsylvania","42",1308,12742886,10.3,7.9
,"Other bacterial diseases","A30-A49","2011","2011","Rhode Island","44",191,1051302,18.2,14.0
,"Other bacterial diseases","A30-A49","2011","2011","South Carolina","45",661,4679230,14.1,13.1
,"Other bacterial diseases","A30-A49","2011","2011","South Dakota","46",60,824082,7.3,6.0
,"Other bacterial diseases","A30-A49","2011","2011","Tennessee","47",989,6403353,15.4,14.4
,"Other bacterial diseases","A30-A49","2011","2011","Texas","48",2753,25674681,10.7,12.4
,"Other bacterial diseases","A30-A49","2011","2011","Utah","49",149,2817222,5.3,6.9
,"Other bacterial diseases","A30-A49","2011","2011","Vermont","50",46,626431,7.3,6.0
,"Other bacterial diseases","A30-A49","2011","2011","Virginia","51",858,8096604,10.6,10.5
,"Other bacterial diseases","A30-A49","2011","2011","Washington","53",657,6830038,9.6,9.2
,"Other bacterial diseases","A30-A49","2011","2011","West Virginia","54",327,1855364,17.6,14.3
,"Other bacterial diseases","A30-A49","2011","2011","Wisconsin","55",371,5711767,6.5,5.6
,"Other bacterial diseases","A30-A49","2011","2011","Wyoming","56",25,568158,4.4,4.0
"Total","Other bacterial diseases","A30-A49","2011","2011",,,35280,311591917,11.3,10.4
,"Other bacterial diseases","A30-A49","2012","2012","Alabama","01",620,4822023,12.9,11.5
,"Other bacterial diseases","A30-A49","2012","2012","Alaska","02",32,731449,4.4,5.7
,"Other bacterial diseases","A30-A49","2012","2012","Arizona","04",626,6553255,9.6,8.6
,"Other bacterial diseases","A30-A49","2012","2012","Arkansas","05",367,2949131,12.4,10.8
,"Other bacterial diseases","A30-A49","2012","2012","California","06",4934,38041430,13.0,12.8
,"Other bacterial diseases","A30-A49","2012","2012","Colorado","08",275,5187582,5.3,5.5
,"Other bacterial diseases","A30-A49","2012","2012","Connecticut","09",407,3590347,11.3,8.9
,"Other bacterial diseases","A30-A49","2012","2012","Delaware","10",111,917092,12.1,10.3
,"Other bacterial diseases","A30-A49","2012","2012","District of Columbia","11",67,632323,10.6,10.6
,"Other bacterial diseases","A30-A49","2012","2012","Florida","12",1795,19317568,9.3,6.7
,"Other bacterial diseases","A30-A49","2012","2012","Georgia","13",1036,9919945,10.4,11.5
,"Other bacterial diseases","A30-A49","2012","2012","Hawaii","15",143,1392313,10.3,8.0
,"Other bacterial diseases","A30-A49","2012","2012","Idaho","16",97,1595728,6.1,5.7
,"Other bacterial diseases","A30-A49","2012","2012","Illinois","17",1351,12875255,10.5,9.6
,"Other bacterial diseases","A30-A49","2012","2012","Indiana","18",734,6537334,11.2,10.3
,"Other bacterial diseases","A30-A49","2012","2012","Iowa","19",241,3074186,7.8,6.0
,"Other bacterial diseases","A30-A49","2012","2012","Kansas","20",244,2885905,8.5,7.3
