"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2013","2013","Oct., 2013","2013/10",2865,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Nov., 2013","2013/11",3033,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Dec., 2013","2013/12",3654,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jan., 2014","2014/01",4528,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Feb., 2014","2014/02",3506,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Mar., 2014","2014/03",3705,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Apr., 2014","2014/04",3391,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","May, 2014","2014/05",3123,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jun., 2014","2014/06",2945,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Jul., 2014","2014/07",2926,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Aug., 2014","2014/08",2836,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Sep., 2014","2014/09",2828,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Oct., 2014","2014/10",3144,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Nov., 2014","2014/11",3194,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2014","2014","Dec., 2014","2014/12",4110,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Jan., 2015","2015/01",5014,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Feb., 2015","2015/02",4115,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Mar., 2015","2015/03",4303,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Apr., 2015","2015/04",3667,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","May, 2015","2015/05",3444,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Jun., 2015","2015/06",3170,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Jul., 2015","2015/07",3159,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Aug., 2015","2015/08",3091,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Sep., 2015","2015/09",3126,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Oct., 2015","2015/10",3501,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Nov., 2015","2015/11",3492,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2015","2015","Dec., 2015","2015/12",4075,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Jan., 2016","2016/01",4526,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Feb., 2016","2016/02",4219,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Mar., 2016","2016/03",4514,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Apr., 2016","2016/04",3859,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","May, 2016","2016/05",3594,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Jun., 2016","2016/06",3191,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Jul., 2016","2016/07",3222,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Aug., 2016","2016/08",3178,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Sep., 2016","2016/09",3297,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Oct., 2016","2016/10",3447,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Nov., 2016","2016/11",3463,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2016","2016","Dec., 2016","2016/12",4229,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Jan., 2017","2017/01",4919,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Feb., 2017","2017/02",4295,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Mar., 2017","2017/03",4540,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Apr., 2017","2017/04",3930,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","May, 2017","2017/05",3532,Not Applicable,Not Applicable,Not Applicable
