"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","Apr., 2018","2018/04","55-64 years","55-64",545,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Apr., 2018","2018/04","65-74 years","65-74",899,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Apr., 2018","2018/04","75-84 years","75-84",1062,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Apr., 2018","2018/04","85+ years","85+",1095,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Apr., 2018","2018/04","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","15-24 years","15-24",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","25-34 years","25-34",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","35-44 years","35-44",80,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","45-54 years","45-54",218,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","55-64 years","55-64",518,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","65-74 years","65-74",787,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","75-84 years","75-84",938,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","85+ years","85+",964,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","25-34 years","25-34",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","35-44 years","35-44",53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","45-54 years","45-54",182,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","55-64 years","55-64",509,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","65-74 years","65-74",730,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","75-84 years","75-84",841,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","85+ years","85+",951,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","15-24 years","15-24",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","25-34 years","25-34",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","35-44 years","35-44",62,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","45-54 years","45-54",186,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","55-64 years","55-64",460,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","65-74 years","65-74",714,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","75-84 years","75-84",864,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","85+ years","85+",934,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","15-24 years","15-24",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","25-34 years","25-34",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","35-44 years","35-44",80,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","45-54 years","45-54",197,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","55-64 years","55-64",457,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","65-74 years","65-74",747,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","75-84 years","75-84",828,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","85+ years","85+",881,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","25-34 years","25-34",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","35-44 years","35-44",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","45-54 years","45-54",175,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","55-64 years","55-64",415,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","65-74 years","65-74",748,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","75-84 years","75-84",837,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","85+ years","85+",947,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","25-34 years","25-34",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","35-44 years","35-44",72,Not Applicable,Not Applicable,Not Applicable,Not Applicable
