"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2020","2020","Nov., 2020","2020/11",21848,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2020","2020","Dec., 2020","2020/12",27028,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Jan., 2021","2021/01",28551,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Feb., 2021","2021/02",21903,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Mar., 2021","2021/03",20252,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Apr., 2021","2021/04",18508,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","May, 2021","2021/05",18317,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Jun., 2021","2021/06",17415,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Jul., 2021","2021/07",18813,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Aug., 2021","2021/08",22978,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Sep., 2021","2021/09",24610,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Oct., 2021","2021/10",23675,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Nov., 2021","2021/11",21873,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2021","2021","Dec., 2021","2021/12",24051,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Jan., 2022","2022/01",28826,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Feb., 2022","2022/02",22805,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Mar., 2022","2022/03",19954,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Apr., 2022","2022/04",17838,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","May, 2022","2022/05",18179,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Jun., 2022","2022/06",17930,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Jul., 2022","2022/07",18668,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Aug., 2022","2022/08",18703,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Sep., 2022","2022/09",18377,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Oct., 2022","2022/10",19431,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Nov., 2022","2022/11",20077,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2022","2022","Dec., 2022","2022/12",22884,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Jan., 2023","2023/01",22657,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Feb., 2023","2023/02",18406,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Mar., 2023","2023/03",19905,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Apr., 2023","2023/04",18417,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","May, 2023","2023/05",17961,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Jun., 2023","2023/06",17118,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Jul., 2023","2023/07",17347,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Aug., 2023","2023/08",17500,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Sep., 2023","2023/09",17633,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Oct., 2023","2023/10",18540,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Nov., 2023","2023/11",18779,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2023","2023","Dec., 2023","2023/12",21229,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2024","2024","Jan., 2024","2024/01",22761,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
