"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","25-34 years","25-34",134,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","35-44 years","35-44",318,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","45-54 years","45-54",909,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","55-64 years","55-64",1818,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","65-74 years","65-74",2535,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","75-84 years","75-84",3571,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","May, 2010","2010/05","85+ years","85+",3401,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","< 1 year","1",47,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","1-4 years","1-4",13,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","5-14 years","5-14",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","15-24 years","15-24",70,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","25-34 years","25-34",113,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","35-44 years","35-44",310,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","45-54 years","45-54",936,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","55-64 years","55-64",1859,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","65-74 years","65-74",2486,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","75-84 years","75-84",3287,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jun., 2010","2010/06","85+ years","85+",3190,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","< 1 year","1",49,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","1-4 years","1-4",23,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","5-14 years","5-14",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","15-24 years","15-24",64,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","25-34 years","25-34",141,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","35-44 years","35-44",287,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","45-54 years","45-54",920,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","55-64 years","55-64",1868,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","65-74 years","65-74",2555,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","75-84 years","75-84",3495,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Jul., 2010","2010/07","85+ years","85+",3276,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","< 1 year","1",52,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","1-4 years","1-4",17,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","5-14 years","5-14",23,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","15-24 years","15-24",65,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","25-34 years","25-34",123,Not Applicable,Not Applicable
