"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","5-14 years","5-14",17,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","15-24 years","15-24",51,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","25-34 years","25-34",140,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","35-44 years","35-44",297,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","45-54 years","45-54",974,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","55-64 years","55-64",1866,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","65-74 years","65-74",2538,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","75-84 years","75-84",3407,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Aug., 2011","2011/08","85+ years","85+",3354,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","< 1 year","1",44,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","1-4 years","1-4",11,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","5-14 years","5-14",22,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","15-24 years","15-24",62,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","25-34 years","25-34",126,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","35-44 years","35-44",296,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","45-54 years","45-54",909,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","55-64 years","55-64",1947,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","65-74 years","65-74",2575,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","75-84 years","75-84",3346,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","85+ years","85+",3357,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Sep., 2011","2011/09","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","< 1 year","1",38,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","1-4 years","1-4",16,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","5-14 years","5-14",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","15-24 years","15-24",49,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","25-34 years","25-34",143,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","35-44 years","35-44",348,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","45-54 years","45-54",1037,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","55-64 years","55-64",2056,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","65-74 years","65-74",2678,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","75-84 years","75-84",3637,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Oct., 2011","2011/10","85+ years","85+",3553,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","< 1 year","1",34,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","1-4 years","1-4",19,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","5-14 years","5-14",23,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","15-24 years","15-24",44,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","25-34 years","25-34",142,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","35-44 years","35-44",284,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","45-54 years","45-54",974,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","55-64 years","55-64",1991,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","65-74 years","65-74",2611,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","75-84 years","75-84",3635,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","85+ years","85+",3644,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Nov., 2011","2011/11","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","< 1 year","1",43,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","1-4 years","1-4",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","5-14 years","5-14",27,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","15-24 years","15-24",65,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","25-34 years","25-34",121,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","35-44 years","35-44",337,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","45-54 years","45-54",960,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","55-64 years","55-64",1998,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","65-74 years","65-74",2768,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","75-84 years","75-84",3888,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Dec., 2011","2011/12","85+ years","85+",4079,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","< 1 year","1",37,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","1-4 years","1-4",15,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","5-14 years","5-14",22,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","15-24 years","15-24",63,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","25-34 years","25-34",173,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","35-44 years","35-44",342,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","45-54 years","45-54",1024,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","55-64 years","55-64",2148,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","65-74 years","65-74",3062,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","75-84 years","75-84",4078,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jan., 2012","2012/01","85+ years","85+",4270,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","< 1 year","1",36,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","1-4 years","1-4",27,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","5-14 years","5-14",26,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","15-24 years","15-24",47,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","25-34 years","25-34",112,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","35-44 years","35-44",307,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","45-54 years","45-54",1001,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","55-64 years","55-64",1925,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","65-74 years","65-74",2712,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","75-84 years","75-84",3616,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","85+ years","85+",3847,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Feb., 2012","2012/02","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","< 1 year","1",40,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","1-4 years","1-4",25,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","5-14 years","5-14",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","15-24 years","15-24",62,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","25-34 years","25-34",139,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","35-44 years","35-44",313,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","45-54 years","45-54",989,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","55-64 years","55-64",2112,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","65-74 years","65-74",2906,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","75-84 years","75-84",3922,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","85+ years","85+",3978,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Mar., 2012","2012/03","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","< 1 year","1",33,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","1-4 years","1-4",13,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","5-14 years","5-14",19,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","15-24 years","15-24",46,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","25-34 years","25-34",137,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","35-44 years","35-44",312,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","45-54 years","45-54",908,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","55-64 years","55-64",2070,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","65-74 years","65-74",2719,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","75-84 years","75-84",3714,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Apr., 2012","2012/04","85+ years","85+",3571,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","< 1 year","1",40,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","1-4 years","1-4",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","5-14 years","5-14",11,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","15-24 years","15-24",60,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","25-34 years","25-34",149,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","35-44 years","35-44",294,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","45-54 years","45-54",919,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","55-64 years","55-64",2027,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","65-74 years","65-74",2684,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","75-84 years","75-84",3486,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","May, 2012","2012/05","85+ years","85+",3523,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","< 1 year","1",36,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","5-14 years","5-14",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","15-24 years","15-24",55,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","25-34 years","25-34",150,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","35-44 years","35-44",285,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","45-54 years","45-54",931,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","55-64 years","55-64",1883,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","65-74 years","65-74",2583,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","75-84 years","75-84",3323,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","85+ years","85+",3332,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jun., 2012","2012/06","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","< 1 year","1",44,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","1-4 years","1-4",14,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","5-14 years","5-14",20,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","15-24 years","15-24",49,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","25-34 years","25-34",128,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","35-44 years","35-44",340,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","45-54 years","45-54",931,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","55-64 years","55-64",1942,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","65-74 years","65-74",2622,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","75-84 years","75-84",3444,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Jul., 2012","2012/07","85+ years","85+",3205,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","< 1 year","1",32,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","1-4 years","1-4",17,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","5-14 years","5-14",13,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","15-24 years","15-24",56,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","25-34 years","25-34",121,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","35-44 years","35-44",321,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","45-54 years","45-54",946,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","55-64 years","55-64",2082,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","65-74 years","65-74",2671,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","75-84 years","75-84",3452,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","85+ years","85+",3451,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Aug., 2012","2012/08","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","< 1 year","1",42,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","1-4 years","1-4",19,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","5-14 years","5-14",20,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","15-24 years","15-24",54,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","25-34 years","25-34",123,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","35-44 years","35-44",300,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","45-54 years","45-54",927,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","55-64 years","55-64",1962,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","65-74 years","65-74",2632,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","75-84 years","75-84",3393,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","85+ years","85+",3387,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Sep., 2012","2012/09","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","< 1 year","1",45,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","1-4 years","1-4",10,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","5-14 years","5-14",23,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","15-24 years","15-24",42,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","25-34 years","25-34",137,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","35-44 years","35-44",319,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","45-54 years","45-54",932,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","55-64 years","55-64",2042,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","65-74 years","65-74",2749,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","75-84 years","75-84",3652,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","85+ years","85+",3860,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Oct., 2012","2012/10","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","< 1 year","1",38,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","1-4 years","1-4",12,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","5-14 years","5-14",28,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","15-24 years","15-24",59,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","25-34 years","25-34",141,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","35-44 years","35-44",297,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","45-54 years","45-54",981,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","55-64 years","55-64",2059,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","65-74 years","65-74",2807,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","75-84 years","75-84",3817,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Nov., 2012","2012/11","85+ years","85+",3786,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","< 1 year","1",44,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","1-4 years","1-4",12,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","5-14 years","5-14",26,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","15-24 years","15-24",73,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","25-34 years","25-34",159,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","35-44 years","35-44",337,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","45-54 years","45-54",1097,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","55-64 years","55-64",2446,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","65-74 years","65-74",3145,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","75-84 years","75-84",4134,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","85+ years","85+",4242,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2012","2012","Dec., 2012","2012/12","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","< 1 year","1",48,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","1-4 years","1-4",16,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","5-14 years","5-14",33,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","15-24 years","15-24",70,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","25-34 years","25-34",173,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","35-44 years","35-44",391,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","45-54 years","45-54",1129,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","55-64 years","55-64",2569,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","65-74 years","65-74",3626,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","75-84 years","75-84",4849,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Jan., 2013","2013/01","85+ years","85+",5245,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","< 1 year","1",38,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","1-4 years","1-4",15,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","5-14 years","5-14",16,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","15-24 years","15-24",51,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","25-34 years","25-34",156,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","35-44 years","35-44",323,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","45-54 years","45-54",966,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","55-64 years","55-64",2172,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","65-74 years","65-74",2972,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","75-84 years","75-84",3928,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Feb., 2013","2013/02","85+ years","85+",4049,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Mar., 2013","2013/03","< 1 year","1",33,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Mar., 2013","2013/03","1-4 years","1-4",20,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Mar., 2013","2013/03","5-14 years","5-14",29,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2013","2013","Mar., 2013","2013/03","15-24 years","15-24",82,Not Applicable,Not Applicable
