"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2020","2020","Jun., 2020","2020/06","35-44 years","35-44",187,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jun., 2020","2020/06","45-54 years","45-54",523,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jun., 2020","2020/06","55-64 years","55-64",1132,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jun., 2020","2020/06","65-74 years","65-74",1669,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jun., 2020","2020/06","75-84 years","75-84",1834,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jun., 2020","2020/06","85+ years","85+",1779,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07","15-24 years","15-24",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07","25-34 years","25-34",155,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07","35-44 years","35-44",427,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07","45-54 years","45-54",977,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","Jul., 2020","2020/07","55-64 years","55-64",2175,Not Applicable,Not Applicable,Not Applicable,Not Applicable
