Disease,Model,Validation Year,Training Years,Year,Month,Age Adjusted Rate,Predicted AAMR,Death,Predicted Death,Excess AAMR,Excess Death
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Feb., 2019",1.00,1.10,4076.00,4454.00,-0.10,-378.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Mar., 2019",1.10,1.10,4466.00,4571.70,0.00,-105.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Apr., 2019",0.90,1.00,3883.00,4033.60,-0.10,-150.60
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"May, 2019",0.90,0.90,3702.00,3743.60,0.00,-41.60
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Jun., 2019",0.90,0.90,3461.00,3523.00,0.00,-62.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Jul., 2019",0.80,0.80,3235.00,3476.10,0.00,-241.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Aug., 2019",0.80,0.80,3286.00,3440.70,0.00,-154.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Sep., 2019",0.80,0.80,3099.00,3449.10,0.00,-350.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Oct., 2019",0.80,0.90,3456.00,3723.00,-0.10,-267.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Nov., 2019",0.90,0.90,3689.00,3766.10,0.00,-77.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,2019.0,2010-2018,2019,"Dec., 2019",1.00,1.10,4163.00,4461.10,-0.10,-298.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Jan., 2020",1.20,1.20,4846.00,5058.20,0.00,-212.20
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Feb., 2020",1.00,1.10,4143.00,4339.40,-0.10,-196.40
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Mar., 2020",1.20,1.10,5121.00,4479.50,0.10,641.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Apr., 2020",1.70,0.90,6863.00,3938.80,0.80,2924.20
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"May, 2020",1.30,0.90,5230.00,3658.40,0.40,1571.60
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Jun., 2020",1.00,0.80,4185.00,3447.20,0.20,737.80
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Jul., 2020",1.30,0.80,5274.00,3357.00,0.50,1917.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Aug., 2020",1.40,0.80,5679.00,3332.40,0.60,2346.60
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Sep., 2020",1.10,0.80,4755.00,3292.50,0.30,1462.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Oct., 2020",1.20,0.90,5043.00,3588.90,0.30,1454.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Nov., 2020",1.60,0.90,6496.00,3661.30,0.70,2834.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2020,"Dec., 2020",2.30,1.00,9476.00,4309.40,1.30,5166.60
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Jan., 2021",2.60,1.20,10574.00,5053.00,1.40,5521.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Feb., 2021",1.70,1.00,6935.00,4332.70,0.70,2602.30
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Mar., 2021",1.30,1.10,5397.00,4471.30,0.20,925.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Apr., 2021",1.10,0.90,4446.00,3929.00,0.20,517.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"May, 2021",1.10,0.90,4410.00,3647.10,0.20,762.90
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Jun., 2021",1.00,0.80,3877.00,3434.30,0.20,442.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Jul., 2021",1.10,0.80,4382.00,3342.50,0.30,1039.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Aug., 2021",1.80,0.80,7353.00,3316.40,1.00,4036.60
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Sep., 2021",2.20,0.80,8659.00,3275.00,1.40,5384.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Oct., 2021",1.80,0.80,7313.00,3569.90,1.00,3743.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Nov., 2021",1.50,0.80,6052.00,3640.60,0.70,2411.40
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2021,"Dec., 2021",1.80,1.00,7155.00,4287.20,0.80,2867.80
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Jan., 2022",2.30,1.20,9774.00,5029.40,1.10,4744.60
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Feb., 2022",1.70,1.00,7070.00,4307.50,0.70,2762.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Mar., 2022",1.10,1.00,4613.00,4444.50,0.10,168.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Apr., 2022",0.90,0.90,3793.00,3900.70,0.00,-107.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"May, 2022",0.90,0.80,3811.00,3617.20,0.10,193.80
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Jun., 2022",0.90,0.80,3927.00,3402.90,0.10,524.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Jul., 2022",0.90,0.70,3951.00,3309.60,0.20,641.40
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Aug., 2022",0.90,0.70,4022.00,3281.90,0.20,740.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Sep., 2022",0.90,0.70,3855.00,3239.00,0.20,616.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Oct., 2022",1.00,0.80,4221.00,3532.30,0.20,688.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Nov., 2022",1.00,0.80,4445.00,3601.60,0.20,843.40
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2022,"Dec., 2022",1.30,1.00,5571.00,4246.60,0.30,1324.40
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Jan., 2023",1.30,1.20,5563.00,4987.20,0.10,575.80
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Feb., 2023",1.00,1.00,4222.00,4263.70,0.00,-41.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Mar., 2023",1.00,1.00,4362.00,4399.20,0.00,-37.20
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Apr., 2023",1.00,0.90,4147.00,3853.90,0.10,293.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"May, 2023",0.90,0.80,3937.00,3568.90,0.10,368.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Jun., 2023",0.80,0.70,3568.00,3353.00,0.10,215.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Jul., 2023",0.80,0.70,3483.00,3258.20,0.10,224.80
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Aug., 2023",0.80,0.70,3582.00,3228.90,0.10,353.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Sep., 2023",0.90,0.70,3800.00,3184.50,0.20,615.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Oct., 2023",0.90,0.80,3982.00,3476.30,0.10,505.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Nov., 2023",1.00,0.80,4291.00,3544.00,0.20,747.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2023,"Dec., 2023",1.20,0.90,5092.00,4187.50,0.30,904.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Jan., 2024",1.30,1.10,5706.00,4926.50,0.20,779.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Feb., 2024",1.00,0.90,4456.00,4201.50,0.10,254.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Mar., 2024",1.00,1.00,4397.00,4335.50,0.00,61.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Apr., 2024",0.90,0.80,4007.00,3788.60,0.10,218.40
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"May, 2024",0.90,0.80,3811.00,3502.10,0.10,308.90
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Jun., 2024",0.90,0.70,3769.00,3284.70,0.20,484.30
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Jul., 2024",0.90,0.70,3786.00,3188.30,0.20,597.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Aug., 2024",0.90,0.70,3802.00,3157.50,0.20,644.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Sep., 2024",0.80,0.60,3722.00,3111.50,0.20,610.50
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Oct., 2024",0.90,0.70,3950.00,3401.70,0.20,548.30
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Nov., 2024",0.90,0.70,3804.00,3467.90,0.20,336.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2024,"Dec., 2024",1.10,0.90,4730.00,4109.90,0.20,620.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Jan., 2025",1.30,1.10,5748.00,4847.40,0.20,900.60
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Feb., 2025",1.10,0.90,4995.00,4120.90,0.20,874.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Mar., 2025",1.10,0.90,4820.00,4253.30,0.20,566.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Apr., 2025",0.90,0.80,4159.00,3704.80,0.10,454.20
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"May., 2025",0.90,0.70,3890.00,3416.80,0.20,473.20
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Jun., 2025",0.80,0.70,3578.00,3197.80,0.10,380.20
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Jul., 2025",0.80,0.60,3621.00,3099.90,0.20,521.10
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Aug., 2025",0.80,0.60,3664.00,3067.60,0.20,596.40
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Sep., 2025",0.80,0.60,3613.00,3020.00,0.20,593.00
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Oct., 2025",0.90,0.70,3928.00,3308.70,0.20,619.30
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Nov., 2025",0.90,0.70,3746.00,3373.30,0.20,372.70
Pneumonia/Sepsis,anchored_quadratic_month_fe_30,,2010-2019,2025,"Dec., 2025",1.00,0.90,4430.00,4013.80,0.10,416.20
