Disease,Model,Model Label,Validation Year,Training Years,Year,Month,Month Code,Deaths,Predicted Deaths,Actual - Predicted Deaths
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Jan., 2020",2020/01,413.0,432.8,-19.8
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Feb., 2020",2020/02,369.0,372.6,-3.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Mar., 2020",2020/03,1389.0,403.4,985.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Apr., 2020",2020/04,6576.0,331.8,6244.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"May, 2020",2020/05,3008.0,307.6,2700.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Jun., 2020",2020/06,1429.0,269.6,1159.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Jul., 2020",2020/07,2399.0,270.0,2129.0
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Aug., 2020",2020/08,2540.0,274.5,2265.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Sep., 2020",2020/09,1515.0,263.4,1251.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Oct., 2020",2020/10,1659.0,297.8,1361.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Nov., 2020",2020/11,3172.0,293.9,2878.1
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2020,"Dec., 2020",2020/12,5917.0,357.0,5560.0
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Jan., 2021",2021/01,6789.0,437.7,6351.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Feb., 2021",2021/02,3644.0,377.5,3266.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Mar., 2021",2021/03,1916.0,408.3,1507.7
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Apr., 2021",2021/04,1586.0,336.7,1249.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"May, 2021",2021/05,1421.0,312.5,1108.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Jun., 2021",2021/06,971.0,274.5,696.5
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Jul., 2021",2021/07,1331.0,274.9,1056.1
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Aug., 2021",2021/08,4576.0,279.4,4296.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Sep., 2021",2021/09,6059.0,268.3,5790.7
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Oct., 2021",2021/10,4235.0,302.7,3932.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Nov., 2021",2021/11,2950.0,298.8,2651.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2021,"Dec., 2021",2021/12,3773.0,361.9,3411.1
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Jan., 2022",2022/01,4768.0,442.6,4325.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Feb., 2022",2022/02,3026.0,382.4,2643.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Mar., 2022",2022/03,1012.0,413.2,598.8
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Apr., 2022",2022/04,425.0,341.6,83.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"May, 2022",2022/05,402.0,317.4,84.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Jun., 2022",2022/06,429.0,279.4,149.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Jul., 2022",2022/07,541.0,279.8,261.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Aug., 2022",2022/08,512.0,284.3,227.7
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Sep., 2022",2022/09,466.0,273.2,192.8
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Oct., 2022",2022/10,474.0,307.6,166.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Nov., 2022",2022/11,480.0,303.7,176.3
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2022,"Dec., 2022",2022/12,620.0,366.8,253.2
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2023,"Jan., 2023",2023/01,671.0,447.6,223.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2023,"Feb., 2023",2023/02,502.0,387.4,114.6
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2023,"Mar., 2023",2023/03,480.0,418.2,61.8
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2023,"Apr., 2023",2023/04,409.0,346.6,62.4
Pneumonia/ARDS,linear_month_fe,Linear trend + month effects,,2010-2019,2023,"May, 2023",2023/05,380.0,322.4,57.6
