Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2014,2014,Nursing home/long term care,6.0,27148,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Other,7.0,3063,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Place of death unknown,9.0,92,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Influenza and pneumonia,J09-J18,2014,2014,,,153911,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Medical Facility - Inpatient,1.0,101659,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Medical Facility - Outpatient or ER,2.0,4916,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Medical Facility - Dead on Arrival,3.0,198,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Decedent's home,4.0,11632,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Hospice facility,5.0,8319,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Nursing home/long term care,6.0,27721,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Other,7.0,2790,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2015,2015,Place of death unknown,9.0,54,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Influenza and pneumonia,J09-J18,2015,2015,,,157289,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Medical Facility - Inpatient,1.0,98721,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Medical Facility - Outpatient or ER,2.0,4792,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Medical Facility - Dead on Arrival,3.0,193,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Decedent's home,4.0,11639,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Hospice facility,5.0,8219,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Nursing home/long term care,6.0,23587,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Other,7.0,2677,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2016,2016,Place of death unknown,9.0,25,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Influenza and pneumonia,J09-J18,2016,2016,,,149853,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Medical Facility - Inpatient,1.0,98759,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Medical Facility - Outpatient or ER,2.0,4883,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Medical Facility - Dead on Arrival,3.0,160,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Decedent's home,4.0,11955,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Hospice facility,5.0,8881,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Nursing home/long term care,6.0,23274,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Other,7.0,2728,Not Applicable,Not Applicable,Not Applicable,,,,
,Influenza and pneumonia,J09-J18,2017,2017,Place of death unknown,9.0,33,Not Applicable,Not Applicable,Not Applicable,,,,
Total,Influenza and pneumonia,J09-J18,2017,2017,,,150673,Not Applicable,Not Applicable,Not Applicable,,,,
