Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Age Group,Deaths,Population,Standard Weight,Crude Rate,AAMR
,Influenza and pneumonia,J09-J18,2021,2021,<25,250.0,100090840.0,0.339528,0.2497731061104093,0.24014815481516436
,Influenza and pneumonia,J09-J18,2021,2021,25-44,3406.0,88898959.0,0.298186,3.8313159550046025,4.02927995821935
,Influenza and pneumonia,J09-J18,2021,2021,45-64,15040.0,83491500.0,0.22208100000000003,18.01380978902044,16.903318563241676
,Influenza and pneumonia,J09-J18,2021,2021,65+,20547.0,55847953.0,0.126387,36.790963493326245,37.60357897222121
,Influenza and pneumonia,J09-J18,2022,2022,<25,160.0,103778958.0,0.353346,0.15417383550912123,0.1515385935202684
,Influenza and pneumonia,J09-J18,2022,2022,25-44,876.0,89196665.0,0.298186,0.9820994988994263,1.0253629975740672
,Influenza and pneumonia,J09-J18,2022,2022,45-64,4191.0,82517082.0,0.22208100000000003,5.078948380651656,4.666748498631169
,Influenza and pneumonia,J09-J18,2022,2022,65+,7928.0,57794852.0,0.126387,13.717484733761408,14.080856320788953
,Influenza and pneumonia,J09-J18,2023,2023,<25,104.0,103385133.0,0.353346,0.10059473444794041,0.10161039370574974
,Influenza and pneumonia,J09-J18,2023,2023,25-44,416.0,89933209.0,0.298186,0.46256550236075755,0.48067273160994195
,Influenza and pneumonia,J09-J18,2023,2023,45-64,1403.0,82348192.0,0.22208100000000003,1.7037411094587238,1.5563276481699164
,Influenza and pneumonia,J09-J18,2023,2023,65+,3367.0,59248361.0,0.126387,5.682857623690214,5.92272335505401
,Influenza and pneumonia,J09-J18,2024,2024,<25,101.0,104495901.0,0.353346,0.09665450896490188,0.09650454576620547
,Influenza and pneumonia,J09-J18,2024,2024,25-44,386.0,91993088.0,0.298186,0.41959674187695495,0.4346752458405744
,Influenza and pneumonia,J09-J18,2024,2024,45-64,1283.0,82442081.0,0.22208100000000003,1.556244073945683,1.4543705402874223
,Influenza and pneumonia,J09-J18,2024,2024,65+,3051.0,61179918.0,0.126387,4.986930515336748,5.1642047674379645
,Influenza and pneumonia,J09-J18,2025,2025,<25,91.0,100880303.0,0.339528,0.09020591462735793,0.08795623872661287
,Influenza and pneumonia,J09-J18,2025,2025,25-44,347.0,91993088.0,0.298186,0.377202252412703,0.39300409012926324
,Influenza and pneumonia,J09-J18,2025,2025,45-64,1176.0,82442081.0,0.22208100000000003,1.4264559867187245,1.324543177788836
,Influenza and pneumonia,J09-J18,2025,2025,65+,2675.0,61179918.0,0.126387,4.372349763528614,4.5154321894977025
