Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Age Group,Deaths,Population,Standard Weight,Crude Rate,AAMR
,Influenza and pneumonia,J09-J18,2021,2021,<25,1971.0,103655333.0,0.353346,1.901494060127133,1.88423538402254
,Influenza and pneumonia,J09-J18,2021,2021,25-44,17916.0,88898959.0,0.298186,20.15321686725263,21.181449410558734
,Influenza and pneumonia,J09-J18,2021,2021,45-64,90886.0,83491500.0,0.22208100000000003,108.85659019181594,100.00899012161352
,Influenza and pneumonia,J09-J18,2021,2021,65+,263850.0,55847953.0,0.126387,472.4434573277914,508.7563397864956
,Influenza and pneumonia,J09-J18,2022,2022,<25,1572.0,103778958.0,0.353346,1.514757933877116,1.5302065057662428
,Influenza and pneumonia,J09-J18,2022,2022,25-44,7497.0,89196665.0,0.298186,8.405022766265981,8.776125756780909
,Influenza and pneumonia,J09-J18,2022,2022,45-64,42134.0,82517082.0,0.22208100000000003,51.060942751223315,46.10445904737658
,Influenza and pneumonia,J09-J18,2022,2022,65+,180819.0,57794852.0,0.126387,312.863505559284,332.4385846017982
,Influenza and pneumonia,J09-J18,2023,2023,<25,1364.0,103385133.0,0.353346,1.3193386325672185,1.3421401649343154
,Influenza and pneumonia,J09-J18,2023,2023,25-44,5118.0,89933209.0,0.298186,5.69089000260182,5.910894513656411
,Influenza and pneumonia,J09-J18,2023,2023,45-64,25119.0,82348192.0,0.22208100000000003,30.503401944756725,27.51431541633752
,Influenza and pneumonia,J09-J18,2023,2023,65+,129622.0,59248361.0,0.126387,218.77735993405793,238.30349806482232
,Influenza and pneumonia,J09-J18,2024,2024,<25,1246.0,104495901.0,0.353346,1.192391269012552,1.205806192901614
,Influenza and pneumonia,J09-J18,2024,2024,25-44,4921.0,91993088.0,0.298186,5.349314939835479,5.561748348185829
,Influenza and pneumonia,J09-J18,2024,2024,45-64,24422.0,82442081.0,0.22208100000000003,29.62322117996997,26.77541123766113
,Influenza and pneumonia,J09-J18,2024,2024,65+,125095.0,61179918.0,0.126387,204.47068922191102,221.03207617444318
,Influenza and pneumonia,J09-J18,2025,2025,<25,1100.0,104495901.0,0.353346,1.0526728699147732,1.0702013845722627
,Influenza and pneumonia,J09-J18,2025,2025,25-44,4891.0,91993088.0,0.298186,5.316703794093748,5.539387524502219
,Influenza and pneumonia,J09-J18,2025,2025,45-64,23734.0,82442081.0,0.22208100000000003,28.788695908828405,26.079701113855098
,Influenza and pneumonia,J09-J18,2025,2025,65+,122702.0,61179918.0,0.126387,200.55927502223852,216.69517721568778
