Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2010,2010,Utah,49.0,33,2763885.0,1.2,0.8,1.7,1.6,1.1,2.3
,Influenza and pneumonia,J09-J18,2010,2010,Vermont,50.0,Suppressed,625741.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2010,2010,Virginia,51.0,42,8001024.0,0.5,0.4,0.7,0.5,0.4,0.7
,Influenza and pneumonia,J09-J18,2010,2010,Washington,53.0,81,6724540.0,1.2,1.0,1.5,1.2,0.9,1.4
,Influenza and pneumonia,J09-J18,2010,2010,West Virginia,54.0,25,1852994.0,1.3,0.9,2.0,1.1,0.7,1.6
,Influenza and pneumonia,J09-J18,2010,2010,Wisconsin,55.0,48,5686986.0,0.8,0.6,1.1,0.8,0.6,1.0
,Influenza and pneumonia,J09-J18,2010,2010,Wyoming,56.0,Suppressed,563626.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Total,Influenza and pneumonia,J09-J18,2010,2010,,,3199,308745538.0,1.0,1.0,1.1,1.0,0.9,1.0
,Influenza and pneumonia,J09-J18,2011,2011,Alabama,1.0,87,4802740.0,1.8,1.5,2.2,1.7,1.3,2.0
,Influenza and pneumonia,J09-J18,2011,2011,Alaska,2.0,Suppressed,722718.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2011,2011,Arizona,4.0,71,6482505.0,1.1,0.9,1.4,1.0,0.8,1.3
,Influenza and pneumonia,J09-J18,2011,2011,Arkansas,5.0,52,2937979.0,1.8,1.3,2.3,1.5,1.1,2.0
,Influenza and pneumonia,J09-J18,2011,2011,California,6.0,431,37691912.0,1.1,1.0,1.3,1.1,1.0,1.3
,Influenza and pneumonia,J09-J18,2011,2011,Colorado,8.0,32,5116796.0,0.6,0.4,0.9,0.7,0.4,0.9
,Influenza and pneumonia,J09-J18,2011,2011,Connecticut,9.0,35,3580709.0,1.0,0.7,1.4,0.8,0.6,1.2
,Influenza and pneumonia,J09-J18,2011,2011,Delaware,10.0,14,907135.0,Unreliable,0.8,2.6,Unreliable,0.7,2.4
,Influenza and pneumonia,J09-J18,2011,2011,District of Columbia,11.0,Suppressed,617996.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2011,2011,Florida,12.0,192,19057542.0,1.0,0.9,1.1,0.8,0.7,0.9
,Influenza and pneumonia,J09-J18,2011,2011,Georgia,13.0,84,9815210.0,0.9,0.7,1.1,0.9,0.7,1.1
,Influenza and pneumonia,J09-J18,2011,2011,Hawaii,15.0,19,1374810.0,Unreliable,0.8,2.2,Unreliable,0.7,1.8
,Influenza and pneumonia,J09-J18,2011,2011,Idaho,16.0,11,1584985.0,Unreliable,0.3,1.2,Unreliable,0.3,1.1
,Influenza and pneumonia,J09-J18,2011,2011,Illinois,17.0,144,12869257.0,1.1,0.9,1.3,1.1,0.9,1.3
,Influenza and pneumonia,J09-J18,2011,2011,Indiana,18.0,76,6516922.0,1.2,0.9,1.5,1.1,0.9,1.4
,Influenza and pneumonia,J09-J18,2011,2011,Iowa,19.0,42,3062309.0,1.4,1.0,1.9,1.2,0.8,1.6
,Influenza and pneumonia,J09-J18,2011,2011,Kansas,20.0,27,2871238.0,0.9,0.6,1.4,0.9,0.6,1.3
,Influenza and pneumonia,J09-J18,2011,2011,Kentucky,21.0,60,4369356.0,1.4,1.0,1.8,1.3,1.0,1.7
,Influenza and pneumonia,J09-J18,2011,2011,Louisiana,22.0,32,4574836.0,0.7,0.5,1.0,0.7,0.5,1.0
,Influenza and pneumonia,J09-J18,2011,2011,Maine,23.0,15,1328188.0,Unreliable,0.6,1.9,Unreliable,0.5,1.5
,Influenza and pneumonia,J09-J18,2011,2011,Maryland,24.0,54,5828289.0,0.9,0.7,1.2,0.9,0.6,1.1
,Influenza and pneumonia,J09-J18,2011,2011,Massachusetts,25.0,50,6587536.0,0.8,0.6,1.0,0.6,0.5,0.8
,Influenza and pneumonia,J09-J18,2011,2011,Michigan,26.0,111,9876187.0,1.1,0.9,1.3,1.0,0.8,1.2
,Influenza and pneumonia,J09-J18,2011,2011,Minnesota,27.0,64,5344861.0,1.2,0.9,1.5,1.1,0.8,1.4
,Influenza and pneumonia,J09-J18,2011,2011,Mississippi,28.0,48,2978512.0,1.6,1.2,2.1,1.5,1.1,2.0
,Influenza and pneumonia,J09-J18,2011,2011,Missouri,29.0,78,6010688.0,1.3,1.0,1.6,1.1,0.9,1.4
,Influenza and pneumonia,J09-J18,2011,2011,Montana,30.0,Suppressed,998199.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2011,2011,Nebraska,31.0,20,1842641.0,1.1,0.7,1.7,1.0,0.6,1.6
,Influenza and pneumonia,J09-J18,2011,2011,Nevada,32.0,23,2723322.0,0.8,0.5,1.3,0.8,0.5,1.2
,Influenza and pneumonia,J09-J18,2011,2011,New Hampshire,33.0,19,1318194.0,Unreliable,0.9,2.3,Unreliable,0.8,2.0
,Influenza and pneumonia,J09-J18,2011,2011,New Jersey,34.0,109,8821155.0,1.2,1.0,1.5,1.1,0.9,1.3
,Influenza and pneumonia,J09-J18,2011,2011,New Mexico,35.0,18,2082224.0,Unreliable,0.5,1.4,Unreliable,0.5,1.3
,Influenza and pneumonia,J09-J18,2011,2011,New York,36.0,140,19465197.0,0.7,0.6,0.8,0.6,0.5,0.7
