Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2011,2011,Arizona,4.0,2635.0,6482505.0,40.6,37.4,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Arkansas,5.0,1991.0,2937979.0,67.8,59.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,California,6.0,19435.0,37691912.0,51.6,52.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Colorado,8.0,1682.0,5116796.0,32.9,35.4,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Connecticut,9.0,2192.0,3580709.0,61.2,46.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Delaware,10.0,423.0,907135.0,46.6,41.2,,,,
,Influenza and pneumonia,J09-J18,2011,2011,District of Columbia,11.0,282.0,617996.0,45.6,47.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Florida,12.0,7990.0,19057542.0,41.9,30.4,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Georgia,13.0,3932.0,9815210.0,40.1,46.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Hawaii,15.0,913.0,1374810.0,66.4,51.8,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Idaho,16.0,692.0,1584985.0,43.7,42.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Illinois,17.0,7057.0,12869257.0,54.8,50.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Indiana,18.0,3753.0,6516922.0,57.6,53.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Iowa,19.0,1862.0,3062309.0,60.8,45.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Kansas,20.0,1594.0,2871238.0,55.5,46.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Kentucky,21.0,2938.0,4369356.0,67.2,63.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Louisiana,22.0,2204.0,4574836.0,48.2,48.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Maine,23.0,838.0,1328188.0,63.1,47.2,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Maryland,24.0,2998.0,5828289.0,51.4,49.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Massachusetts,25.0,4334.0,6587536.0,65.8,53.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Michigan,26.0,5511.0,9876187.0,55.8,47.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Minnesota,27.0,2477.0,5344861.0,46.3,40.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Mississippi,28.0,1750.0,2978512.0,58.8,57.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Missouri,29.0,3500.0,6010688.0,58.2,50.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Montana,30.0,461.0,998199.0,46.2,37.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Nebraska,31.0,1077.0,1842641.0,58.4,48.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Nevada,32.0,1225.0,2723322.0,45.0,48.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,New Hampshire,33.0,713.0,1318194.0,54.1,46.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,New Jersey,34.0,3968.0,8821155.0,45.0,38.2,,,,
,Influenza and pneumonia,J09-J18,2011,2011,New Mexico,35.0,1107.0,2082224.0,53.2,50.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,New York,36.0,11532.0,19465197.0,59.2,50.6,,,,
,Influenza and pneumonia,J09-J18,2011,2011,North Carolina,37.0,5458.0,9656401.0,56.5,54.7,,,,
,Influenza and pneumonia,J09-J18,2011,2011,North Dakota,38.0,384.0,683932.0,56.1,43.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Ohio,39.0,7389.0,11544951.0,64.0,53.6,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Oklahoma,40.0,2493.0,3791508.0,65.8,60.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Oregon,41.0,1525.0,3871859.0,39.4,33.1,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Pennsylvania,42.0,7549.0,12742886.0,59.2,43.8,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Rhode Island,44.0,820.0,1051302.0,78.0,57.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,South Carolina,45.0,2615.0,4679230.0,55.9,52.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,South Dakota,46.0,554.0,824082.0,67.2,52.3,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Tennessee,47.0,4280.0,6403353.0,66.8,63.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Texas,48.0,10334.0,25674681.0,40.2,47.4,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Utah,49.0,1007.0,2817222.0,35.7,48.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Vermont,50.0,361.0,626431.0,57.6,46.5,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Virginia,51.0,3790.0,8096604.0,46.8,46.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Washington,53.0,3321.0,6830038.0,48.6,46.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,West Virginia,54.0,1550.0,1855364.0,83.5,66.9,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Wisconsin,55.0,2888.0,5711767.0,50.6,42.0,,,,
,Influenza and pneumonia,J09-J18,2011,2011,Wyoming,56.0,275.0,568158.0,48.4,47.8,,,,
Total,Influenza and pneumonia,J09-J18,2011,2011,,,162603.0,311591917.0,52.2,47.7,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Alabama,1.0,2705.0,4822023.0,56.1,50.9,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Alaska,2.0,184.0,731449.0,25.2,38.0,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Arizona,4.0,2543.0,6553255.0,38.8,35.0,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Arkansas,5.0,1945.0,2949131.0,66.0,57.8,,,,
,Influenza and pneumonia,J09-J18,2012,2012,California,6.0,18214.0,38041430.0,47.9,47.3,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Colorado,8.0,1634.0,5187582.0,31.5,33.4,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Connecticut,9.0,1887.0,3590347.0,52.6,40.0,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Delaware,10.0,406.0,917092.0,44.3,38.1,,,,
,Influenza and pneumonia,J09-J18,2012,2012,District of Columbia,11.0,249.0,632323.0,39.4,40.3,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Florida,12.0,7802.0,19317568.0,40.4,28.7,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Georgia,13.0,3899.0,9919945.0,39.3,45.1,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Hawaii,15.0,1000.0,1392313.0,71.8,53.7,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Idaho,16.0,605.0,1595728.0,37.9,36.2,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Illinois,17.0,6495.0,12875255.0,50.4,45.7,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Indiana,18.0,3639.0,6537334.0,55.7,50.6,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Iowa,19.0,1743.0,3074186.0,56.7,42.0,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Kansas,20.0,1522.0,2885905.0,52.7,44.5,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Kentucky,21.0,2876.0,4380415.0,65.7,60.6,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Louisiana,22.0,2058.0,4601893.0,44.7,44.4,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Maine,23.0,764.0,1329192.0,57.5,42.7,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Maryland,24.0,2899.0,5884563.0,49.3,46.1,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Massachusetts,25.0,4006.0,6646144.0,60.3,48.2,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Michigan,26.0,5079.0,9883360.0,51.4,43.3,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Minnesota,27.0,2370.0,5379139.0,44.1,37.5,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Mississippi,28.0,1583.0,2984926.0,53.0,50.9,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Missouri,29.0,3236.0,6021988.0,53.7,45.5,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Montana,30.0,453.0,1005141.0,45.1,35.9,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Nebraska,31.0,954.0,1855525.0,51.4,43.1,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Nevada,32.0,1112.0,2758931.0,40.3,41.9,,,,
,Influenza and pneumonia,J09-J18,2012,2012,New Hampshire,33.0,637.0,1320718.0,48.2,40.6,,,,
,Influenza and pneumonia,J09-J18,2012,2012,New Jersey,34.0,3612.0,8864590.0,40.7,34.3,,,,
,Influenza and pneumonia,J09-J18,2012,2012,New Mexico,35.0,1094.0,2085538.0,52.5,48.4,,,,
,Influenza and pneumonia,J09-J18,2012,2012,New York,36.0,10833.0,19570261.0,55.4,46.7,,,,
,Influenza and pneumonia,J09-J18,2012,2012,North Carolina,37.0,5714.0,9752073.0,58.6,55.4,,,,
,Influenza and pneumonia,J09-J18,2012,2012,North Dakota,38.0,413.0,699628.0,59.0,45.8,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Ohio,39.0,6848.0,11544225.0,59.3,49.0,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Oklahoma,40.0,2273.0,3814820.0,59.6,54.8,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Oregon,41.0,1521.0,3899353.0,39.0,32.3,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Pennsylvania,42.0,7127.0,12763536.0,55.8,41.1,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Rhode Island,44.0,677.0,1050292.0,64.5,47.8,,,,
,Influenza and pneumonia,J09-J18,2012,2012,South Carolina,45.0,2451.0,4723723.0,51.9,48.2,,,,
,Influenza and pneumonia,J09-J18,2012,2012,South Dakota,46.0,512.0,833354.0,61.4,47.3,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Tennessee,47.0,4243.0,6456243.0,65.7,60.9,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Texas,48.0,10680.0,26059203.0,41.0,47.4,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Utah,49.0,1000.0,2855287.0,35.0,46.0,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Vermont,50.0,367.0,626011.0,58.6,46.2,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Virginia,51.0,3585.0,8185867.0,43.8,43.1,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Washington,53.0,3174.0,6897012.0,46.0,43.2,,,,
,Influenza and pneumonia,J09-J18,2012,2012,West Virginia,54.0,1484.0,1855413.0,80.0,63.0,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Wisconsin,55.0,2766.0,5726398.0,48.3,39.5,,,,
,Influenza and pneumonia,J09-J18,2012,2012,Wyoming,56.0,225.0,576412.0,39.0,38.2,,,,
Total,Influenza and pneumonia,J09-J18,2012,2012,,,155098.0,313914040.0,49.4,44.4,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Alabama,1.0,2775.0,4833722.0,57.4,50.9,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Alaska,2.0,208.0,735132.0,28.3,43.4,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Arizona,4.0,2628.0,6626624.0,39.7,34.9,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Arkansas,5.0,2089.0,2959373.0,70.6,60.9,,,,
,Influenza and pneumonia,J09-J18,2013,2013,California,6.0,18570.0,38332521.0,48.4,47.1,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Colorado,8.0,1698.0,5268367.0,32.2,33.4,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Connecticut,9.0,1840.0,3596080.0,51.2,38.1,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Delaware,10.0,452.0,925749.0,48.8,40.9,,,,
,Influenza and pneumonia,J09-J18,2013,2013,District of Columbia,11.0,226.0,646449.0,35.0,36.8,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Florida,12.0,8406.0,19552860.0,43.0,30.0,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Georgia,13.0,4107.0,9992167.0,41.1,45.4,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Hawaii,15.0,1028.0,1404054.0,73.2,55.0,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Idaho,16.0,644.0,1612136.0,39.9,38.0,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Illinois,17.0,6572.0,12882135.0,51.0,45.4,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Indiana,18.0,3833.0,6570902.0,58.3,52.2,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Iowa,19.0,1859.0,3090416.0,60.2,44.4,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Kansas,20.0,1595.0,2893957.0,55.1,45.7,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Kentucky,21.0,2908.0,4395295.0,66.2,60.2,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Louisiana,22.0,2139.0,4625470.0,46.2,44.7,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Maine,23.0,752.0,1328302.0,56.6,41.0,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Maryland,24.0,2956.0,5928814.0,49.9,45.7,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Massachusetts,25.0,4145.0,6692824.0,61.9,49.2,,,,
