Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2015,2015,Other,7.0,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2015,2015,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2016,2016,Medical Facility - Inpatient,1.0,3630,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2016,2016,Medical Facility - Outpatient or ER,2.0,53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2016,2016,Medical Facility - Dead on Arrival,3.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2016,2016,Decedent's home,4.0,25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2016,2016,Hospice facility,5.0,33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2016,2016,Nursing home/long term care,6.0,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2016,2016,Other,7.0,24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2017,2017,Medical Facility - Inpatient,1.0,3566,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2017,2017,Medical Facility - Outpatient or ER,2.0,44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2017,2017,Decedent's home,4.0,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2017,2017,Hospice facility,5.0,34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2017,2017,Nursing home/long term care,6.0,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2017,2017,Other,7.0,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2017,2017,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2018,2018,Medical Facility - Inpatient,1.0,3610,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2018,2018,Medical Facility - Outpatient or ER,2.0,46,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2018,2018,Decedent's home,4.0,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2018,2018,Hospice facility,5.0,48,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2018,2018,Nursing home/long term care,6.0,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2018,2018,Other,7.0,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2019,2019,Medical Facility - Inpatient,1.0,3459,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2019,2019,Medical Facility - Outpatient or ER,2.0,52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2019,2019,Decedent's home,4.0,26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2019,2019,Hospice facility,5.0,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2019,2019,Nursing home/long term care,6.0,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2019,2019,Other,7.0,12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2019,2019,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2020,2020,Medical Facility - Inpatient,1.0,26638,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2020,2020,Medical Facility - Outpatient or ER,2.0,675,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2020,2020,Medical Facility - Dead on Arrival,3.0,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2020,2020,Decedent's home,4.0,540,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2020,2020,Hospice facility,5.0,553,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2020,2020,Nursing home/long term care,6.0,1785,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2020,2020,Other,7.0,175,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2020,2020,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2021,2021,Medical Facility - Inpatient,1.0,37176,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2021,2021,Medical Facility - Outpatient or ER,2.0,499,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2021,2021,Medical Facility - Dead on Arrival,3.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2021,2021,Decedent's home,4.0,654,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Influenza and pneumonia,J09-J18,2021,2021,Hospice facility,5.0,401,Not Applicable,Not Applicable,Not Applicable,Not Applicable
