Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2015,2015,Medical Facility - Dead on Arrival,3.0,23,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2015,2015,Decedent's home,4.0,946,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Hospice facility,5.0,2034,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Nursing home/long term care,6.0,2255,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Other,7.0,298,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2015,2015,Place of death unknown,9.0,19,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Medical Facility - Inpatient,1.0,37684,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Medical Facility - Outpatient or ER,2.0,1372,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Medical Facility - Dead on Arrival,3.0,20,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2016,2016,Decedent's home,4.0,1098,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Hospice facility,5.0,2088,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Nursing home/long term care,6.0,2130,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Other,7.0,342,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2016,2016,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2017,2017,Medical Facility - Inpatient,1.0,38511,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2017,2017,Medical Facility - Outpatient or ER,2.0,1529,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2017,2017,Medical Facility - Dead on Arrival,3.0,25,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2017,2017,Medical Facility - Status unknown,10.0,Missing,Missing,Missing,Missing,,,,
,Other bacterial diseases,A30-A49,2017,2017,Decedent's home,4.0,1198,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2017,2017,Hospice facility,5.0,2526,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2017,2017,Nursing home/long term care,6.0,2209,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2017,2017,Other,7.0,343,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2017,2017,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,,,,
,Other bacterial diseases,A30-A49,2018,2018,Medical Facility - Inpatient,1.0,39071,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Medical Facility - Outpatient or ER,2.0,1520,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Medical Facility - Dead on Arrival,3.0,20,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Decedent's home,4.0,1310,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Hospice facility,5.0,2561,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Nursing home/long term care,6.0,2252,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Other,7.0,337,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Medical Facility - Inpatient,1.0,37461,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Medical Facility - Outpatient or ER,2.0,1543,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Medical Facility - Dead on Arrival,3.0,14,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Decedent's home,4.0,1283,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Hospice facility,5.0,2475,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Nursing home/long term care,6.0,1981,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Other,7.0,391,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Medical Facility - Inpatient,1.0,57440,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Medical Facility - Outpatient or ER,2.0,2190,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Medical Facility - Dead on Arrival,3.0,22,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Decedent's home,4.0,1960,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Hospice facility,5.0,2725,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Nursing home/long term care,6.0,2237,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Other,7.0,526,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Place of death unknown,9.0,11,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Medical Facility - Inpatient,1.0,67622,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Medical Facility - Outpatient or ER,2.0,2193,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Medical Facility - Dead on Arrival,3.0,28,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
